	AUR-AFEA-TTP1-A-1-0-R-A741-41	AUR-AFEA-TTM4-A-1-1-R-A742-41	AUR-AFEA-TTM2-A-1-1-R-A742-41	AUR-AFEA-TTM1-A-1-1-R-A742-41	AUR-AFEA-TTM3-A-1-1-R-A742-41	AUR-AFEA-TTM6-A-1-0-R-A741-41	AUR-AFE7-TTP2-A-1-1-R-A742-41	AUR-AFE7-TTM2-A-1-1-R-A742-41	AUR-AFE7-TTM1-A-1-1-R-A742-41	AUR-AFE7-TTM3-A-1-1-R-A742-41	AUR-AD9G-TTP1-B-4-0-R-A584-39	AUR-AD9G-TTM2-A-1-1-R-A542-39	AUR-AD9G-TTM3-A-1-1-R-A542-39	AUR-AFE5-TTP1-A-1-0-R-A741-41	AUR-AFE5-TTM4-A-1-1-R-A742-41	AUR-AFE5-TTM9-A-1-1-R-A742-41	AUR-AG0N-TTP1-A-1-0-R-A741-41	AUR-AG0N-TTM1-A-1-1-R-A743-41	AUR-AG0M-TTP1-A-2-0-R-A741-41	AUR-AG0M-TTM1-A-2-1-R-A743-41	AUR-AG0J-TTP1-A-1-0-R-A741-41	AUR-AG0J-TTM1-A-1-0-R-A743-41	AUR-AFSP-TTP1-A-8-0-R-A741-41	AUR-AFSP-TTM1-A-8-0-R-A741-41	AUR-AF9A-TTP1-A-1-0-R-A741-41	AUR-AF9A-TTM1-A-1-1-R-A742-41	AUR-AF98-TTP1-A-1-0-R-A741-41	AUR-AF98-TTM1-A-1-1-R-A742-41	AUR-AF95-TTP1-A-1-0-R-A741-41	AUR-AF95-TTM1-A-1-1-R-A742-41	AUR-AFSL-TTP1-A-8-0-R-A741-41	AUR-AFSL-TTM1-A-8-0-R-A741-41	AUR-AFR5-TTP1-A-1-1-R-A743-41	AUR-AFR5-TTM1-A-1-1-R-A743-41	AUR-AE6Y-TTP1-A-1-0-R-A741-41	AUR-AE6Y-TTM1-A-1-1-R-A742-41	AUR-AE5H-TTP1-A-1-1-R-A742-41	AUR-AE5H-TTM1-A-1-1-R-A742-41	AUR-AFUI-TTP1-A-1-0-R-A743-41	AUR-AFUI-TTM1-A-1-0-R-A743-41	AUR-AER7-TTP1-A-1-0-R-A741-41	AUR-AER7-TTM4-A-1-1-R-A742-41	AUR-AER6-TTP1-A-1-0-R-A741-41	AUR-AER6-TTM2-A-1-1-R-A742-41	AUR-AER6-TTM3-A-1-1-R-A742-41	AUR-AER6-TTM7-A-1-1-R-A742-41	AUR-AER6-TTM9-A-1-1-R-A742-41	AUR-AER6-TTM6-A-1-1-R-A742-41	AUR-AER6-TTM5-A-1-1-R-A742-41	AUR-AER6-TTM1-A-1-1-R-A742-41	AUR-AER6-TTM10-A-1-1-R-A742-41	AUR-AFEC-TTP2-A-1-1-R-A742-41	AUR-AFEC-TTM3-A-1-1-R-A742-41	AUR-AFEC-TTM4-A-1-1-R-A742-41	AUR-AFEC-TTM6-A-1-1-R-A742-41	AUR-AG12-TTP1-A-1-0-R-A741-41	AUR-AG12-TTM1-A-1-1-R-A743-41	AUR-AERX-TTP1-A-1-0-R-A741-41	AUR-AERX-TTM1-A-1-1-R-A742-41	AUR-AERW-TTP1-B-1-0-R-A741-41	AUR-AERW-TTM1-A-1-1-R-A742-41	AUR-AFSO-TTP1-A-8-0-R-A741-41	AUR-AFSO-TTM1-A-8-0-R-A741-41	AUR-AFR3-TTP1-A-2-1-R-A743-41	AUR-AFR3-TTM1-A-1-1-R-A743-41	AUR-AE5G-TTP1-A-1-1-R-A742-41	AUR-AE5G-TTM1-A-1-1-R-A742-41	AUR-AF94-TTP1-A-1-0-R-A741-41	AUR-AF94-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTP1-A-1-0-R-A741-41	AUR-AFE4-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTM6-A-1-1-R-A742-41	AUR-AFE4-TTM5-A-1-1-R-A742-41	AUR-AFUN-TTP1-A-1-0-R-A741-41	AUR-AFUN-TTM1-A-1-0-R-A743-41	AUR-AFUL-TTP1-A-1-1-R-A743-41	AUR-AFUL-TTM1-A-1-1-R-A743-41	AUR-AFKB-TTP1-A-10-0-R-A741-41	AUR-AFKB-TTM1-A-1-1-R-A742-41	AUR-AEPZ-TTP1-A-1-1-R-A742-41	AUR-AEPZ-TTM1-A-1-1-R-A742-41	AUR-AER8-TTP1-A-1-0-R-A741-41	AUR-AER8-TTM2-A-1-1-R-A742-41	AUR-AFKF-TTP1-A-10-0-R-A741-41	AUR-AFKF-TTM1-A-1-1-R-A742-41	AUR-AFUM-TTP1-A-1-0-R-A741-41	AUR-AFUM-TTM1-A-1-1-R-A743-41	AUR-AFE9-TTP1-A-1-0-R-A741-41	AUR-AFE9-TTM1-A-1-1-R-A742-41	AUR-AFE9-TTM4-A-1-1-R-A742-41	AUR-AFE9-TTM2-A-1-1-R-A742-41	AUR-AFE9-TTM3-A-1-1-R-A742-41	AUR-AER2-TTP1-A-1-1-R-A742-41	AUR-AER2-TTM3-A-1-1-R-A742-41	AUR-AER2-TTM1-A-1-1-R-A742-41	AUR-AFE6-TTP1-A-1-0-R-A741-41	AUR-AFE6-TTM2-A-1-1-R-A742-41	AUR-AFE6-TTM1-A-1-1-R-A742-41	AUR-AFR4-TTP1-A-1-1-R-A743-41	AUR-AFR4-TTM1-A-1-1-R-A743-41	AUR-AE6X-TTP1-A-1-0-R-A741-41	AUR-AE6X-TTM1-A-1-1-R-A742-41	AUR-AFKD-TTP1-A-1-1-R-A742-41	AUR-AER4-TTP1-A-1-0-R-A741-41	AUR-AD9J-TTP1-B-4-0-R-A584-39	AUR-AFUO-TTP1-A-1-0-R-A741-41	AUR-AFR2-TTP1-A-1-1-R-A742-41	AUR-AERY-TTM1-A-1-1-R-A742-41	AUR-ADCB-TTM1-A-1-1-R-A742-41	AUR-AD9I-TTM3-A-1-1-R-A542-39	AUR-AD9E-TTM1-A-1-1-R-A542-39	AUR-AFUP-TTM1-A-1-1-R-A743-41	AUR-AFUK-TTM2-A-1-0-R-A743-41	AUR-AD9H-TTM1-A-2-1-R-A542-39	AUR-AD9E-TTM4-A-1-1-R-A542-39	AUR-AD9E-TTM2-A-1-1-R-A542-39	AUR-AFUK-TTM1-A-1-0-R-A743-41	AUR-AD9H-TTM3-A-1-1-R-A542-39	AUR-AD9H-TTM2-A-1-1-R-A542-39	AUR-AD9F-TTM3-A-1-1-R-A542-39	AUR-AD9F-TTM1-A-1-1-R-A542-39	AUR-AD9F-TTM2-A-1-1-R-A542-39	AUR-AFUG-TTM1-A-1-1-R-A743-41	AUR-AFE5-NT1-A-1-1-R-A742-41	AUR-AFE9-NT1-A-1-1-R-A742-41	AUR-AFE6-NT1-A-1-1-R-A742-41	AUR-AFE4-NT1-A-1-1-R-A742-41	AUR-AE5G-NT1-A-1-1-R-A742-41	AUR-AFEC-NT1-A-1-1-R-A742-41
N:GEXP::EXO1:9156:	243.00008	1465.99957	670.00023	289.0001	380.00018	876.99988	235.00045	765.99949	451.00004	575.00007	360.00049	325.00034	533.0001607	1276.00113	400.99961	177.00023	905.999659	3925.003143	457.9996	1498.00036	447.00112	1641.00057	170.9998326	335.99992	574.00049	2474.99957	541.00083	935.00013	1667.00013	3978.00355	822.0008241	322.00102	341.00006	532.99976	906.00009	1008.00093	2593.00035	580.00023	1650.00003	3252.99614	181	17.99998	386.00078	308.99985	524.99979	291.00039	300.99985	136.99999	239.999573	249.99993	72.00003	283.99997	215.00032	997.00023	618.00017	229.99999	649.0001561	330	476.00057	260.99963	1196.99977	513.0008	716.00042	2076.99895	2957.00058	1117.99974	2352.9998	190.9999	438.9994	270.00051	339.99999	1598.00003	403.9997	62.000031	256.99953	547.00001	51.00001	110.00013	794.99973	264.00054	33.00001	28.0000507	314.00017	107.9999	2845.99464	43	3328.00061	153.9997001	443.99997	17.00003	26.99998	101.00001	251.99991	33.99998	195.99956	107.00002	318.00014	179.99978	173.000479	1307.00041	138	2432.0002	839.00064	23	84.00008	130.00027	949.9999588	1501.00024	1355.000723	683.99961	859.9992	329.99963	55.99997	2	50.000056	74	212.99977	119.9999168	171.00034	539.9998	791.99955	490.9999	1955.00008	4.000005	33.999997	17.00002	5.999999	213.00037	21
N:GEXP::F7:2155:	1	7	31	16	20	5	22	7	21.99996	5	64.00008	2176.00289	16	5	7.000001	2	85.000046	117.00002	20	43.00002	14	2	9.00001	3	37	35	4	0	11	7	5	2	13.00001	4	4	2	7	4	72	43	11	2	37.0001	80.00008	33.99999	9	91.999945	11.99999	21	9.99999	16.99999	28.99998	20.99999	1347.00234	0	194.99981	55.99998	68.00003	63.99998	140	40.99996	40.00007	71	704.99959	56.00003	1093.99932	66.00003	291.99951	1001.99991	137.9999	338.00047	872.00008	256.00039	1154.00159	143.00001	110.99997	1487.995607	309.00033	591.9997	567.9999	2260.0012	38	27.99999	166.99995	460.99964	0	2	19	68.99996	4341.0002	11	13	11	10	26	15	8	10	143.99986	10	47	1717.99725	3	40.0001	168.0002	9.00001	596.00037	360.9995	507.99928	607.99951	33.00002	100	90.00005	6	296.0001	46.99999	76.00005	292.00011	110.00001	61.00002	576.99965	38.00003	201.0002	77	17.99999	18.00005	5769.9995	8	9
N:GEXP::FAM171A1:221061:	994.0005	4900.005	2271.99547	1109	1333.00068	2207	1673	2134	1812.99648	2442.99704	378	1015.00189	1031.99566	1358.00484	1550.99706	2486.99606	1787.00429	3590.00374	1049.00286	4506.99972	1153.99603	3052.99589	465	1002.00032	264	114	1281.99846	3214.00176	1466.00075	5562.9996	2371.99562	1154.00095	1435.99701	3114.99619	207.99989	272	12222.046	3629.99981	341	326.99971	1592	1035.00361	238	111	684	150	242	479.99954	326	380	224.00012	228	58	431.99991	242	925	33	195	65	153.99993	276.99972	365	230.99966	1042.99984	646.00012	582.99992	166.00025	617.99969	441.00048	366.00037	346.9997	293	342	133	1397.99861	782.00032	797.9998	139	83.99999	282.00032	345.00011	292	223.00011	189	302.00016	284	69	84.0001	3725.00272	964.00005	1022.00107	2814.001	410	144	289	828.99986	208.99989	592.99968	1674.99573	2639.99628	1088.00115	6098.9972	1466.99914	349.00064	176.00067	83.0001	659	294.99993	91	437	203	934.00034	562.9996	29.99996	128.00041	267	98	144.99979	39	309.00014	388	697	734.99995	3556.998	4721.00151	672.99975	798.99994	1179.00171	717
N:GEXP::FAM83D:81610:	200	2106	1214	735.0000049	590.001	881.001	569	1813.001	946	1074	179	163.0001	414.0000376	1090	468	269	1076	3939	365.0006	1902.003	670.0001	995	94.00010999	352	534.0003	2738	317	927.9996	539	2690	1098.9994	398	2200	2771.0036	1566.0054	3691	2273	581	1275.001	1804.005	210.0003	1898	1436.0022	2405.005	4871	1832.999	3119.999	7192	6163	748.0000335	1425	223.99997	369.0007	1397	522.0004	341.0005	947	390.0005	3036	65	503	360.0004	750	2734.001	1848.996	1936.001	3549	167	415.99976	176	489.00019	1158	389.9999	37	374	397	58	50.0001	600	305	68.00003945	20	482	200	1271	49	7964	58	859	118	97	180.0003	1263	507	1778	125	529	630.0000059	528.0003	3181	83	2000.004	2038.001	20	36	73.0001	1513	2847.002	1437	627	1419.998	335	285	13	146	222	211.0004	235	477	517	923	500.0000069	2818	116	39	39	90	191.0002045	47
N:GEXP::FEN1:2237:	255.00052	2496.99663	1282.99906	898.94225	580.00014	635.9999	494	1902.99955	1188.99557	979.85966	190.99998	446	493.99996	897.00076	964.99818	540.00009	525.99233	3396.9929	563.95363	2278.93727	522.00051	3365.99648	157.00017	659	635.99992	4314.99692	323.9792	2082.99662	1171.99642	4242.9983	416.99	372.00029	2076.9973	3152.9976	803.00075	1768.99631	2809.98948	1066.0006	3976.00078	7226.0042	164.0004	159.0005	507.00006	937.0002	1663	917.99961	665.0001	514.98696	704.00007	844.9995	800.00049	328.79631	351.99994	1522.00109	868.87031	379.00002	921	453.00034	1179	311	2213.00091	480.00054	543.9999	4153.94731	5972.9291	3276.99928	5825.96985	364.00005	1195	191	572.0002	1963.9943	620.9966	51.00006	886.975	3023.99542	1416.0044	116	1612	1252.99837	802.99976	105.0001	613.00036	108.5813	2908.99846	91.0001	7044.9829	251.00059	1847.99624	384.9999	326.00013	757.99374	600.99985	124.9997	320.99964	290	447.9996	148.99975	964.99995	1429	209.0004	3375.996	748.0004	83	104.000095	193	2686.99999	4696.00341	2576.00292	1540.0038	1233	1122.99756	750.00044	25	191.9999	188	1258.0046	316	419	4326.9333	885	684.00029	3592.00372	441	815.00013	265.00024	314.0001	702.0002	221.00016
N:GEXP::FGFR4:2264:	16	414.99987	327.00046	245.9998	101.00002	76.99998	117.99999	388.00038	218.99991	273.00018	47.000095	972.0006	64.99999	36	198.0003	202.00013	129.00005	684.99951	22.00005	454.9998	76.0001	417.00026	36.99999	23.99999	134.00005	245.00017	201.000199	597.00033	146.00003	802.99959	80	87.00005	361.00054	479.0007	110.00003	338.99979	252.00036	95.00008	358.0007	413.99994	7.000007	53.999994	252.00058	942.99928	375.00002	362.00035	620.00024	250.00038	189.999561	170.99963	413.00036	27	37.000047	642.000209	57.00002	903.0001	2256.00023	1960.99795	2115.99745	263.9996	3849.00382	51	42.999951	104.00004	167.99949	1333.99959	233.9996	175.00043	1555.00003	39.00006	1054.99995	467.99992	233.00034	4.000007	457.99982	93.000065	690.99969	9.000011	61.00002	687.00028	129.00002	399.99999	11791.9945	163.0003	7803.99993	26.00001	477.00018	5.0000038	109.00002	2676.00308	5268.99951	26.00002	363.99972	81.99995	120.99994	59	615.00008	226.999629	724.99943	173.00043	23	1093.99947	92.00001	74.00004	45.00004	0	1216.99975	432.99975	590.00033	874.99929	186.99999	1166.9997	63.999992	2.000005	183.99951	219.00026	19.00002	185.00005	106.99998	3173.99917	3477.00194	3442.99966	2805.00494	89.00003	45.99997	1162.00066	2731.99799	64.00004	13.00002
N:GEXP::FOXA1:3169:	109	34	91	47	40	37	86.99997	293.00033	134.99982	314.99981	41	2368.9985	24	45	24	108.99993	90.00007	58	1002.0005	2452.0022	183	158.99961	40	463	5803.99844	7518.9989	93.00011	57.00002	41	29.00001	155	607.0002	39.99999	25	11	20	454.0003	505.00011	4928.99981	3442.003	157.00038	58	3017.99693	3994.0007	4483.99812	2073.00262	1808.9954	1421.0005	1883.9987	3184.0042	3205.0006	352.00025	1129.9961	2736.0032	752.99958	3614.00589	11899.0449	8956.0001	12277.04932	5661.0064	8585.00165	6626.9978	11264.0065	16694.04178	15553.99175	18200.0259	18561.9998	5469.0033	10753.0401	5776.00511	5658.0011	22055.0391	5338.0056	3537.999	9641.996	7453.0034	7975.00312	5969.00165	30164.9593	16153.037	16405.9597	3745.9964	2688.9966	15231.9656	47116.993	1433.0001	307.99965	5251.99876	7557.9965	2110.9991	385.0005	2598.00165	2724.00054	360.00031	1488.0027	201	12	33	4653.0013	67	128.00021	575.0005	4	2560.00134	3781.00575	3544.0055	12113.0372	6478.9996	24799.0244	11165.9972	15050.0271	16976.9724	15114.9636	1093.002	11467.044	7543.99929	8960.00398	16835.019	23528.0235	8359.004	11086.04	7190.002	13728.0433	1	9	2144.0038	2865.0039	800.99988	235.00042
N:GEXP::FOXC1:2296:	1519	5029	5006	1423	2034	3842.96	2653	8518	4599	4832.99	2333	1099	1504	1842	2534	1369.97	2990	6349.99	3058	9786	1184	6403	1086	381	4256	7774.99	3994.94	6100	2034	2467.85	3363	2110	1497	645	10554	12803	14521.9	13465	386	367	2666	1278	757	106	494	388	121	204	324	564	241	621	1829	2427	2056	509	7	185	202.939	144	260	223	444	536	246	641	775	334	162	340	152	67	216	70.0001	166	813	343	138	202	205	56	224	88	159	459	506	231	229	289	61	649	643	479	194	201	1216	484	745	1337	3560	854.804	7279	484	248	407	61.0001	450	93	102	227	455	210	442	34	61	202	64	360	213	386	312	525	528	248	306	388	27	1941	1927
N:GEXP::FOXM1:2305:	641.8312	4266.7594	866.29615	680.09143	955.9627	1471.6982	1181.530712	3107.15165	2386.22875	3170.5451	771.40711	1139.7839	1605.44379	3303.79226	1767.2861	977.35925	2516.8618	6058.566	1314.63245	2925.1403	1690.39704	3518.8804	770.1917	896.25866	1060.1528	2891.6676	1302.26916	1529.392409	3744.7152	10198.578	2290.556	954.47297	5147.72802	3036.0055	5845.1118	7278.735	2832.1523	752.32329	2890.1395	1969.76102	853.15108	292.67673	897.9925	1264.3604	1065.48483	488.03878	721.8828	219.204155	902.24619	403.85945	453.72747	686.1339	1284.51829	3713.0006	2128.40318	758.38772	524.4919	1016.29654	969.6921	782.17342	850.97445	1144.89799	2994.60903	4977.0617	8970.4353	3707.4485	3761.551	720.49997	1233.329	342.5307	630.1494492	1967.3005	781.68805	247.89215	643.99789	606.02977	69.19114571	252.7095	554.541	765.10394	214.12872	245.51775	514.55282	277.39609	1890.31076	186.581844	7248.3045	249.28512	1000.66104	104.66306	76.2143	189.54244	1548.46231	317.72063	888.3912801	152.92918	734.99846	451.091528	1056.33392	2415.6353	384.7825	2406.38932	4090.6202	175.4608	142.3069	424.8579	1442.48084	2288.63783	1621.54842	983.16881	3708.41806	675.56039	281.0096	39.65231	523.65257	670.75455	410.11517	424.9891	615.51494	1055.28388	1375.29621	1048.75005	1228.36571	83.2698	82.43572	96.41891	44.57831	313.11871	51.79723
N:GEXP::G6PD:2539:	283	1909.9846	1354.9989	817.96489	474.99969	453.00074	667.00032	1980.9702	1295.00047	1430.00052	180.00008	235.0001	1078.00086	321.95993	1281.00037	1171.97371	605.95481	1589.91086	668.00026	1530.27853	639.95542	3349.50084	99.00002	123.00011	1008.88488	3039.98633	757.9528	2439.97656	935.99929	5363.82748	539.95271	780.99307	2925.95704	4061.66419	516.98876	1619.00066	2418.766	727.96842	2020.88302	1766.9918	259.84164	1235.00002	996.99402	5824.9808	8595.9348	2220.9793	4706.9961	3702.9395	6263.00247	4008.95619	10288.9057	917.92698	2871.98406	12202.854	3118.99787	542.00033	1689.9617	1108.87327	1330.97781	750.99424	8816.9337	1510.96157	1304.93406	1482.00043	1810.00111	1786.98149	2887.33375	449.96354	1766.98843	327.00073	3149.99907	5067.9843	2503.98556	91.99999	1095.81118	1186.99263	615.00018	171.99998	1127.88996	1831.73776	1293.96463	468.00008	1532.91108	144	2587.9334	125.0001	1960.89691	121.00004	2589.99967	325.99981	1285.94846	1429.99464	1707.00047	496.91621	676.99994	548.00008	478.00019	320.00029	1627.86478	1060.96781	402.99945	2498.9041	2145.98277	268.00032	133.00009	69.00006	9476.5242	7469.8868	6534.9745	2995.97513	1360.00109	1368.96199	915.00046	104.000091	507.00014	595.00037	441.99985	796.999919	691.00002	5395.97673	1251.88178	1497.00112	1406.95567	1170.00031	1690.81574	992.99923	116.00007	546.0009	662.99985
N:GEXP::GABRP:2568:	6007.0015	30535.98939	16166.04253	2716.00038	13735.98965	20389.98899	10589.0004	103373.0881	45193.0302	37410.01904	15477.02959	4217.99982	836.0003	15930.99375	34996.04366	17033.04333	39180.0385	33903.97027	6079.9986	1140.0002	29929.97263	201168.3164	5363.0074	233	301.99975	35.99999	20633.99369	2676.00226	27851.98406	49570.97908	44535.98224	25379.00036	2706.00381	296.99969	20348.03204	38491.969	41741.96099	37326.97146	114.99998	274.00042	41652.0063	12351.0017	398.99968	40.00005	753.999263	1002.00046	186.0003	780.00044	1008.00061	3026.00098	485.99951	65.00006	54.00002	144.00028	17.00002	464.00039	16	170.00024	70.00003	295.9997	52.99999345	158.99989	309.00007	106.00009	21.00003	1531.00027	0	66	205.99968	874.00088	19	164.99995	466.00018	34.00002	476.00006	2810.99837	31.999991	179.00029	7.000007	677.0004	19.99998	142.9997	750.00056	223	15.000021	1028.00069	33.00004	61.00002	13	270.00011	26.000031	7.000009	19.00001	10	117.99995	203.00028	1	19	4085.99971	44	5479.00608	53015.01063	25.000035	242.00032	46.00001	21.00001	44.00000431	3400.99756	239.9997619	52.99995	15	10	14.000001	0	8.999995	8.000006	4	80.999967	7	13	31.00001	31.99996	289.00016	3	8	54.00004	13.999966	34644.01038	7089.99946
N:GEXP::GATA3:2625:	331.999732	1198.9996	314.00026	269.00037	578	987	81.00006	24.00001	114.00004	51.99999	639	1270.0005	969.99995	2321.999	528.9992	574.99996	256	51.99997	576	16.000003	782.00027	1006.9998	355	9.00001	123.99961	12.999958	1707.00286	1765.99763	575.00029	368.99959	2882.9947	1748.001	1725.00275	1091.0007	156.0001	501.99985	402.00049	54	1263.00014	377.99994	253.0005	147	1765.99975	498.9998	795.0008	1313.9997	213.99961	282.99938	2120.9963	1056.9995	539.99976	106.99999	58.00004	74.99997	62	1056.00044	2871.99924	11898.00047	14790.04007	1339.00021	1986.00366	4510.99772	6985.00732	8356.00324	18	20560.0174	11641.9965	4284.99423	10961.0013	3871.01	3037.9974	8333.9934	3701	4773.00443	6363.00486	7685.00086	6086.9984	4665.0042	24298.03584	25137.95126	23970.96972	9856.99907	9933.99735	9059.998	12739.0138	1399.001	2260.99981	13345.00341	26708.00566	2253.00196	277.9998	11131.00108	4126.0046	597.99953	2394.00093	1000.0002	172.9999	100.00005	8416.99243	1492.00264	823	1610.99681	945.001	2580.01079	4477.01	1633.00194	9509.00071	1120.99981	6331.997	15083.96152	14726.99907	26614.01384	39010.01868	2089.001	14726.98661	9243.003	16544.04767	22656.0075	32325.981	3734.9943	7889.9974	7312.9954	15130.94838	4	34.00004	302.99966	34	4254.9963	2277.00277
N:GEXP::GDF5:8200:	0	117.879	95.5266	77.2798	172.79084	8	30.5624	34.2684	108.498	10.2044	17.8304	129.322	91.242	13.3904	33.42603	43.0247	4	4	23	644.47858	22.802	198.403	11.2121	6.9359	389.3322	1344.41	48.5079	142.601	148.927	3008.39	13.9875	30.9377	22	49.7462	110.585	93.4501	161.704	34	19.7577	34.7317	5	39	7	26.2831	87.2116	6	3	121	31	0	4.19465	14.6239	16.673	9	2.55387	3	0	4	0	3	1	8	5.41653	5.62656	7.25954	16	6	0	1	5	49.6878	1	1.37359	0	17	68	16	1	2	15	114.149	3.66538	5	0	47	0	342.493	3	18.5231	0	40.3365	16	16.2175	1	14.3176	16.7879	40	43.2577	23.9221	98.181	14.8786	80.7517	40.1331	0	16.8521	0	67	14.99997	1	320.441	3	11.7357	17	2	0	0	1.67469	1	0	0	7	24	26.7525	12	13.9649	24.6364	0	39	37.4599
N:GEXP::GINS1:9837:	180.00043	1501.9966	913	283.00004	514.00026	801.00054	149	368.00001	278.0001	447.00028	142.9998	249.99989	232.00024	605.00021	347.00011	174.00044	733.00046	2468.0047	619.9999	3460.99928	509.00064	1181.99839	234.99974	448.00022	675.0004	3212.00012	339.99995	1182.99756	848.9998	1959.9977	778.00022	464.00048	1222.00214	549.99995	1225.99738	1783.99928	1259.99514	823.9998	2778.9988	2154.9996	391.9997	44	849.00025	674.00007	1961.00131	961.00023	673.99965	348.00003	638.99957	568.9997	355.0005	204.99986	254.00057	504.00007	377.9999	252.99986	543.00017	311.0004	541.00011	213.99952	711.00046	300.00046	749.9996	2819.9954	2275.9984	1805.9974	1963.9958	267.99957	559.99972	254	299.99989	873.00004	252.00009	146.0001	496.00026	713.99999	243.9996	106	746.00021	265.0003	255.00034	132.00023	368.9997	212	980.99978	144	2150.99997	158	706.00011	60	89	302.00036	2826.00114	304.99986	1619.99848	135.00038	121.99952	112.00035	282.00013	1166.00441	160.00013	1640.00386	317.0001	49.99998	97.00011	321	644.9998	1221.99877	1054.99608	545.99977	986.99958	433.0002	98	20	107	120.99963	523.0002	206.00022	422.00044	355.00024	486	466	1691.00173	28	121.99959	29	18	304.00034	35
N:GEXP::GMPS:8833:	1591.0908	4520.909	6289.573	1643.842	1677.0937	4458.6264	4092.514	12062.235	8266.872	5639.694	1570.176	2010.0914	2280.3837	13562.713	9494.379	8517.155	4777.851	12783.539	5036.9694	9331.082	3928.7779	9415.951	1447.0028	3928.0059	4479.52006	13404.282	4574.158	11588.541	4954.28	10397.648	4368.008	3133.2098	2002.6337	3593.961	4132.2707	7482.846	15003.903	8925.087	7735.641	10926.64	2137.8119	871.5626	4853.3598	3411.346	7213.58	3531.137	2927.489	4371.148	3263.383	4441.322	1956.3029	1074.6046	1983.3377	4933.045	2893.739	4668.811	10864.458	5735.4353	8325.9464	2677.84891	8920.005	6177.581	5127.014	32221.54	17814.744	8955.204	13805.295	3184.4827	3999.39	3435.674	3572.5214	7437.373	2558.3753	1246.1	7419.102	9098.7051	5746.6941	2309.64823	9413.271	3772.558	6196.0679	1937.5644	1979.201	2107	10086.138	1703.35	14575.411	2174.9965	6394.465	1581.3726	2614.6601	4174.6199	3895.633	1000.0006	1573.9364	3994.4588	1900.1991	2058.045	3845.848	8445.825	2560.4141	11403.378	11692.292	1674.549	1434.359	1713	9248.072	10459.59	8516.017	11886.336	6252.8956	7409.443	6389.095	426.0002	2188.473	1914.004	4342.0988	3091.304	3270.469	4405.0038	5487.056	4247.29	9423.471	588.00019	4218.6325	3130.6952	2103.0055	5867.335	3544.229
N:GEXP::GPR77:27202:	110	340.0006	139.0004	104	273.0001	132.99993	94	61	43.99999	132.0001	108	116.99975	230.0001	207.0006	59.00002	52.0001	106.99968	82.00001	22	94.00005	83.00008	545	103	110.99971	114	403	158.9996	819	224.0002	385	93	113.0004	67	87.0001	89	25.00001	175.9999	59.00003	656	1325.004	122.9996	442	88.00004	70	459.0001	186.9997	123.0001	72	57	239.9997	142	4432.002	15524.96	33233.04	21732.01	126.00014	291.0003	70.99998	25.99996	109	151.0004	333.99981	491.9997	480.9996	50	448.9996	2013.998	369	769	166.99987	265.9996	667	271.0003	571	1889.004	2792	483.0004	606.0001	303.0001	2036.001	1168	51.99999	67	25.00001	135.9998	187.99966	217.0002	153	184.9999	477	207.0001	297.9997	384	285.9996	150	1091.0027	166.0004	1431.001	163	170.0001	137.9997	179.9995	474	109.00047	255	365	333.9997	266.0002	341.0002	1543.005	384.0003	2984.996	1144	68	792.001	479.9998	2262.004	869	751	932	682	451	1369.998	161.9999	199.9999	165	794	232.0004	799
N:GEXP::GRB7:2886:	170.99996	1129.99942	771	519.00058	454.00021	222.99979	1076.0008	2401.99805	1661.9997	1645.999	120.00009	517.00017	456.00031	162.99999	1384.0003	954.9997	314.00019	834.99946	318.99983	876.99966	316.999826	1129.0003	198.0001996	142.00008	261.99976	477.99977	269.99984	387.99994	181.00002	1281	380.9999	145.0000533	841.00001	639.0008	774.00017	2324.9955	1332.00064	960.00011	417.00058	672.999481	269.99951	763.99971	720	1982.0016	1012.00038	1366.00024	125.00003	153.00004	2708.9969	1603.000157	2439.9947	578.00001	3800.00179	4288.00441	2711	3678.9989	18015.0053	15193.01102	17667.01	4163.0016	8258.99716	2880.9956	10060.00578	1728.99492	4440.99989	6466.0001	8825.99874	363.99982	970.00033	379.0001	523.9999	606.000684	489.00058	114.00005	476.00036	698.99989	465.99991	101.00006	1644.00003	2256.0008	1205.999781	160.00009	2033.0027	482.0004	3728.0031	67.00006	1337.00086	79.000069	234.00016	311.00051	134.99988	87.99995	510.99944	207.99956	240	18.99996	26.0000136	10	1522.99995	621.00051	98.99999	1092.999978	1348.00058	339.00043	54.00005	67.00009	520.99988	26608.03363	19449.0026	1173.000242	3401.9996	401.00016	595.00027	46.999978	1043.9996	881.00035	279.999699	1152.99998	1013.0002	624.00036	1317.99996	480.99985	4574.9994	10	10	529.99959	203.99967	1155.0002	724.00051
